playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,ASNextYear
perezma01,1973,141,501.0,66.0,125.0,15.0,5.0,8.0,57.0,2.0,49.0,66.0,1.0,0.0
perezto01,1973,151,564.0,73.0,177.0,33.0,3.0,27.0,101.0,3.0,74.0,117.0,10.0,0.0
petrori01,1973,100,356.0,44.0,87.0,13.0,1.0,13.0,45.0,0.0,47.0,64.0,3.0,0.0
pinielo01,1973,144,513.0,53.0,128.0,28.0,1.0,9.0,69.0,5.0,30.0,65.0,7.0,0.0
pinsova01,1973,124,466.0,56.0,121.0,14.0,6.0,8.0,57.0,5.0,20.0,55.0,3.0,0.0
popovpa01,1973,99,280.0,24.0,66.0,6.0,3.0,2.0,24.0,3.0,18.0,27.0,5.0,0.0
porteda02,1973,117,350.0,50.0,89.0,19.0,2.0,16.0,67.0,5.0,57.0,85.0,6.0,0.0
powelbo01,1973,114,370.0,52.0,98.0,13.0,1.0,11.0,54.0,0.0,85.0,64.0,10.0,0.0
raderda01,1973,148,462.0,59.0,106.0,15.0,4.0,9.0,41.0,0.0,63.0,22.0,23.0,0.0
raderdo02,1973,154,574.0,79.0,146.0,26.0,0.0,21.0,89.0,4.0,46.0,97.0,6.0,0.0
reitzke01,1973,147,426.0,40.0,100.0,20.0,2.0,6.0,42.0,0.0,9.0,25.0,2.0,0.0
retteme01,1973,95,321.0,59.0,84.0,17.0,2.0,9.0,44.0,11.0,57.0,38.0,4.0,0.0
roberbo01,1973,119,397.0,43.0,95.0,16.0,0.0,14.0,40.0,0.0,55.0,77.0,4.0,0.0
roberda06,1973,127,479.0,56.0,137.0,20.0,3.0,21.0,64.0,11.0,17.0,83.0,3.0,0.0
robinbi02,1973,124,452.0,62.0,130.0,32.0,1.0,25.0,65.0,5.0,27.0,91.0,1.0,0.0
robinbr01,1973,155,549.0,53.0,141.0,17.0,2.0,9.0,72.0,2.0,55.0,50.0,5.0,1.0
robinfr02,1973,147,534.0,85.0,142.0,29.0,0.0,30.0,97.0,1.0,82.0,93.0,12.0,0.0
rodriau01,1973,160,555.0,46.0,123.0,27.0,3.0,9.0,58.0,3.0,31.0,85.0,0.0,0.0
rodriel01,1973,94,290.0,30.0,78.0,8.0,1.0,0.0,30.0,4.0,41.0,28.0,3.0,0.0
rojasco01,1973,139,551.0,78.0,152.0,29.0,3.0,6.0,69.0,18.0,37.0,38.0,1.0,0.0
